"team","week2_pa","delta"
"CLE",25.7915383407647,0.870734750982398
"CAR",22.0788956517237,0.745394146454779
"DET",23.8035125796244,0.803618044208179
"BAL",21.6714797302982,0.731639588808716
"STL",25.8224572382627,0.871778587846949
"BUF",22.4849761419382,0.759103619300252
"MIN",25.6240957859809,0.86508180972247
"ARI",22.1721763199928,0.748543346722851
"NYG",29.5020800799757,0.996004426432314
"PIT",23.6155010703464,0.797270685142192
"KC",21.9507138756702,0.741066667985764
"MIA",20.502195379581,0.692163986210006
"OAK",19.2873406042007,0.651149904136095
"CHI",19.973376411036,0.674310803247166
"IND",20.2323989503571,0.683055528873638
"DAL",23.7316386036394,0.801191544177259
"WAS",27.770873381824,0.937558054862782
"TEN",29.6204306899037,1
"NYJ",29.2201885100673,0.986487631323576
"NE",18.8488376246676,0.636345832442347
"DEN",27.2307852884733,0.919324420821304
"TB",26.2831119527501,0.887330512777077
"JAC",27.2675084915638,0.920564213836973
"CIN",16.4935422952935,0.55682992823313
"ATL",20.1469646271176,0.680171224991161
"SD",26.8455134990846,0.906317459733461
"NO",26.7923056405945,0.904521136815435
"SEA",15.6197137758024,0.527329056735372
"SF",19.1780274547918,0.647459439586364
"GB",23.8060351019225,0.803703205775361
"HOU",18.473135798745,0.623661957928305
"PHI",25.6417700649672,0.865678501889823
